,Sub,Mon
DeadMic,0,0
DeadEnz,0,0
Cellulose,0,0
Hemicellulose,0,0
Starch,0,0
Chitin,0,0
Lignin,0,0
Protein,0,0
Phospholipid,0,0
NucleicAcid,0,0
