,C,N,P
DeadMic,0,0,0
DeadEnz,0,0,0
Cellulose,127.913,0,0
Hemicellulose,43.522,0,0
Starch,24.592,0,0
Chitin,10.461,1.743,0
Lignin,39.127,0.326,0
Protein,13.982,2.766,0
Phospholipid,26.135,0,1.002
NucleicAcid,3.807,1.670,1.002
